Region,2030,2050,2080,2100
arg,43,100,103.45,106.21
aus,43,100,103.45,106.21
aut,43,100,103.45,106.21
bel,43,99.8,103.45,106.21
bgr,43,100,103.45,106.21
blt,43,100,103.45,106.21
bra,43,100,103.45,106.21
can,43,100,103.45,106.21
chl,43,100,103.45,106.21
chn,43,100,103.45,106.21
cor,43,100,103.45,106.21
cro,43,100,103.45,106.21
dnk,43,100,103.45,106.21
egy,43,100,103.45,106.21
esp,43,97.04,103.45,106.21
fin,43,100,103.45,106.21
fra,43,100,103.45,106.21
gbr,43,100,103.45,106.21
golf57,43,100,103.45,106.21
grc,43,100,103.45,106.21
hun,43,100,103.45,106.21
idn,43,100,103.45,106.21
irl,43,100,103.45,106.21
ita,43,95.96,103.45,106.21
jpn,43,100,103.45,106.21
meme,43,87.69,103.45,106.21
mex,43,99.92,103.45,106.21
mys,43,100,103.45,106.21
nde,43,100,103.45,106.21
nld,43,99.52,103.45,106.21
noan,43,100,103.45,106.21
noap,43,100,103.45,106.21
nor,43,100,103.45,106.21
oeu,43,100,103.45,106.21
osea,43,100,103.45,106.21
pol,43,100,103.45,106.21
prt,43,95.96,103.45,106.21
rcam,43,100,103.45,106.21
rcz,43,100,103.45,106.21
rfa,43,100,103.45,106.21
ris,43,100,103.45,106.21
rjan57,43,100,103.45,106.21
rom,43,100,103.45,106.21
rsaf,43,77.24,103.45,106.21
rsam,43,100,103.45,106.21
rsas,43,100,103.45,106.21
rsl,43,100,103.45,106.21
rus,43,100,103.45,106.21
slo,43,91.58,103.45,106.21
sui,43,100,103.45,106.21
swe,43,99.08,103.45,106.21
tha,43,100,103.45,106.21
tur,43,100,103.45,106.21
ukr,43,100,103.45,106.21
usa,43,100,103.45,106.21
vnm,43,100,103.45,106.21
zaf,43,100,103.45,106.21
